date,title,amount
2026-09-23,Uber Uber *Trip Help.U,"30,99"
2026-09-23,Paramount+,"22,45"
2026-09-23,Uber Uber * Pending,"21,98"
2026-09-20,Restaurante Viva Leve,"224,85"
2026-09-20,Ifd*Bruccheli Pizzas L,"107,61"
2026-09-20,Drogafuji,"35,96"
2026-09-18,Bio Mundo Terraco Shop - Parcela 1/2,"184,14"
2026-09-17,Drogaforte,"59,99"
2026-09-17,Evolvesudoeste,"149,90"
2026-09-17,Uber Uber *Trip Help.U,"33,97"
2026-09-17,Uber Uber *Trip Help.U,"20,97"
2026-09-13,Ifd*Amico Sudoeste Com,"123,52"
2026-09-12,Bellavia,"6,39"
2026-09-10,Uber Uber *Trip Help.U,"33,98"
2026-09-10,Uber Uber *Trip Help.U,"19,98"
2026-09-09,Uber Uber *Trip Help.U,"20,98"
2026-09-06,Ejuniooliveira - Parcela 1/2,"125,00"
2026-09-06,Bar da Piscina,"23,00"
2026-09-06,Mp *Alexchurrasco,"15,00"
2026-09-06,Bar da Piscina,"16,00"
2026-09-06,Le Pain Rustique,"124,88"
2026-09-06,Manto Sport,"250,00"
2026-09-05,Boneco Alimentos Santo,"18,50"
2026-09-04,Pagamento recebido,"- 3.602,90"
2026-09-04,Ifd*Carrefour Comercio,"52,90"
2026-09-03,Payu *Adidas - Parcela 4/7,"104,28"
2026-09-03,Plantao Saude - Parcela 2/2,"105,40"
2026-09-03,Fisia Nike Ecommer - Parcela 5/8,"103,97"
2026-09-03,Mp *Alexchurrasco,"36,00"
2026-09-03,Estok Distrib e Serv. - Parcela 4/6,"174,83"
2026-09-03,Centauro - Parcela 2/2,"118,99"
2026-09-03,Payu *Adidas - Parcela 3/4,"99,99"
